Date,Open,High,Low,Close,Adj Close,Volume
2021-10-11,2.325683,2.354248,2.246149,2.302843,2.302843,2428699
2021-10-12,2.303803,2.822902,2.205705,2.450300,2.450300,5637884
2021-10-13,2.449367,2.660545,2.391075,2.581458,2.581458,3695981
2021-10-14,2.581099,2.657451,2.464425,2.469924,2.469924,3308937
2021-10-15,2.468594,2.536956,2.376273,2.451321,2.451321,4440181
2021-10-16,2.450028,2.542228,2.381452,2.421724,2.421724,2650820
2021-10-17,2.421828,2.441134,2.261008,2.417566,2.417566,2382991
2021-10-18,2.416896,2.481582,2.306104,2.315120,2.315120,2257125
2021-10-19,2.315667,2.394190,2.245532,2.298605,2.298605,2914737
2021-10-20,2.301064,2.449818,2.238279,2.391679,2.391679,5141037
2021-10-21,2.392249,2.397063,2.238785,2.288994,2.288994,4100837
2021-10-22,2.289287,2.337731,2.205868,2.232969,2.232969,3666167
2021-10-23,2.235805,2.356157,2.225150,2.328584,2.328584,1977089
2021-10-24,2.340952,2.425113,2.228073,2.237304,2.237304,3542472
2021-10-25,2.239946,2.299728,2.220808,2.240875,2.240875,3710409
2021-10-26,2.241417,2.274560,2.087855,2.110375,2.110375,7330256
2021-10-27,2.108451,2.397023,1.898726,2.171025,2.171025,20266185
2021-10-28,2.163051,2.989735,2.132295,2.989735,2.989735,37415563
2021-10-29,2.993665,3.371865,2.796377,3.071300,3.071300,23051943
2021-10-30,3.071061,3.344891,2.764476,2.853531,2.853531,10967623
2021-10-31,2.850616,3.030914,2.631661,2.989836,2.989836,7591790
2021-11-01,2.989942,2.989942,2.627723,2.728563,2.728563,6370351
2021-11-02,2.728618,2.765082,2.617193,2.649250,2.649250,5223601
2021-11-03,2.653269,2.662424,2.456417,2.562282,2.562282,7697976
2021-11-04,null,null,null,null,null,null
2021-11-05,2.420827,2.586164,2.394883,2.536109,2.536109,4814526
